Client,Project,Status,Amount (VAT-Ex.) (PHP),Amount (VAT-Ex.) (USD),Quick Remarks,Sign Date,Source,BD,AM,PM,MKT,Project Code,Signed CE (PDF),Internal CE (Sheet),VAT%,Amount (VAT-Inc.),GP%,GP,Invoice(s),Payment Dates,Other Attachments,Other Links,RFP Received Date,Tribe,Year,Month,Project Start,Project End,AM Weight,AM Lookup,Weighted Amount (PHP),Weighted Amount (USD),Lead Phase,Lead Date,% Collected,Amount Collected (PHP),PAR,Tags,Amount Invoiced (PHP)
Don Bosco,Mineski Outpost - Don Bosco Alumni 2001,Collected - For Closing,33482.14,$587.41,"Jan 19: Submission of Pitch and CE (5PM)
Jan 20-21: Pitch Presenation
Jan 24: Execution 
Feb 9: Invoice request submitted and waiting for Finance to acknowledge.",,,Christine Joyce Jimenez Cahigas,Alvaro Miguel Dela Vega Santos,Anteaus Villena,,2026TEG-P0017,PDEI x AMD x AsRock Sponsorship Agreement 21012026 signed.pdf,,12%,"37,500.00",0.1,"3,348.21",,,Don Bosco 2001 x Mineski Global.pdf,,2026/01/06,IP,2026,01-01,2026/01/24,2026/01/24,100%,Account Director,"₱33,482.14",$587.41,,,1,"37,500.00",,"Don Bosco,Outpost,Event",37500
Dragon AI Media,GG Truck KIS4 HoK,Collected - For Closing,62500,"$1,096.49","April 27: CE Signed by Jati. Pushing for collection this week. 
May 4: Mineski ID started processing. Timeline 1 week.",2026/02/03,,,Alvaro Miguel Dela Vega Santos,,,2026TEG-P0036,,,12%,"70,000.00",0.137,"8,562.50",,,,,2026/02/03,PDEI - Tencent,2026,02-01,2026/02/06,2026/02/08,100%,Account Director,"₱62,500.00","$1,096.49",,,1,"70,000.00",202602050062,"Dragon AI,GGTruck",62500
Land Registration Systems Inc ,AVP Production for Land Registration Systems Inc,Collected - For Closing,311062.5,"$5,457.24","Mar 3: Awarded. Awaiting signed CE
Mar 9: Expected DP
March 26: Collected DP
April 6: For Final Invoicing 
April 30: Target Final Payment
April 23: Carlos updated that the bottleneck is in their finance and he will now escalate this to their processor as this has been long overdue
May 8: Balance payment collected
May 11: For sending of hard copy of documents as requested.",2026/03/03,,Marinella M. Casabuena,Shanna Mae Alindada Sacsi,Ronelle Kylene Chaneco Lim,,2026TEG-P0054,[LARES x Mineski] Final Conforme (2026.03.05) (1).pdf,https://docs.google.com/spreadsheets/d/1n6NYsWbb9XMpFRYoaBcRfQ2rJm1J2xW3mh0oLa-gX48/edit?gid=480848512#gid=480848512,12%,"348,390.00",0.4053,"126,073.63",,,,DECK - https://docs.google.com/presentation/d/1qU3b2amqZsnzU6ZzNQmrRyOeVTSvy3FRTRkJEko4sHM/edit?usp=sharing,2026/02/13,PDEI - Marketing,2026,03-01,2026/03/09,2026/03/20,100%,Account Associate,"₱311,062.50","$5,457.24",4 - ITQ/RFQ/RFP,2026/02/16,1,"348,390.00",202603040036,AVP,"243873,104517"
BingoPlus,Panalo Caravan Festival,Collected - For Closing,6.67964e+06,"$117,186.67",Awaiting reply,2025/09/16,Dar,Kewen Ysan Tolentino Sy,Erika Anne Rous Punzalan,,,2025TEG-P0216,,https://docs.google.com/spreadsheets/d/13ZKGXd73vAS5RnHnpUdfjKh2IJxk8pfdBx95yfXA51k/edit?usp=sharing,0%,"6,679,640.00",0.327,"2,184,242.28",,,,,,PDEI - Marketing,2025,,,,,,,,,,1,"6,679,640.00",,"BingoPlus,Caravan",
BingoPlus,Alan Walker - Talent Booking for Music Fest,Collected - For Closing,4.35e+07,"$763,157.89",,,Dar,Dar,Erika Anne Rous Punzalan,,,2025TEG-P0260,,https://docs.google.com/spreadsheets/d/177B70dgJNY-M_0e3rStG_QeopDKAfgjv/edit?usp=sharing&ouid=107127916459739838747&rtpof=true&sd=true,0%,"43,500,000.00",0,0.00,,,,,,PDEI - Marketing,2025,,,,,,,,,,1,"43,500,000.00",,"BingoPlus,Concert",
CCAP (Contact Center Assoc. of the Philippines),CXTreme MLBB Tournament,Collected - For Closing,1.55072175e+06,"$27,205.64","Aug 1: Awarded; Revising payment terms and dates.
Aug 6:  Awaiting feedback from client; PDEI to check if amenable with terms
Dec 2: Pre-prod meeting with CCAP team
Dec 6-7: Round 1 of CCAP done. 
Dec 8: For preparation for next run (jan 17-18)
Dec 16: Next Payment is on Feb 9",2025/08/02,Hax,Kirk Terrence Agcaoili,Shanna Mae Alindada Sacsi,,,2025TEG-P0121,CE_ 2025TEG-P0121 CCAP x Globe Business MLBB 2025 - FINAL QUOTATION PESO V3 HIGH.pdf,https://docs.google.com/spreadsheets/d/1g3U5mYIVReJxOEKRyOrsNs9gyLdKZGAIaKnoWDY5vAU/edit?usp=sharing,12%,"1,736,808.36",0.104,"161,275.06",,"20% - Aug 15 - 347,361.67
50% - Oct 13 - 868,404.18
30% - Feb 9 - 521,042.50",,,,PDEI - Esports,2025,,,,100%,Account Associate,"₱1,550,721.75","$27,205.64",,,1,"1,736,808.36",,"CCAP,Tournament",
"CIGNAL TV, INC.",UAAP ESports S87 Peripherals Addendum,Collected - For Closing,1.96428571428571e+06,"$34,461.15",Checking,2025/08/29,Mineski,Vince,Alvaro Miguel Dela Vega Santos,,,,,,12%,"2,200,000.00",,,,,,,,PDEI - Esports,2025,,,,100%,Account Director,"₱1,964,285.71","$34,461.15",,,1,"2,200,000.00",,"CIGNAL,UAAP,Addendum",
DIGITAL TRIGGER DIGITAL MEDIA INC,BuzzOne - C-Vitt Brand Activation,Collected - For Closing,2.38443897e+06,"$41,832.26","Dec 2: Invoice for balance payment sent
March 27: DP Collected",2025/05/08,Vince,Marinella M. Casabuena,Shanna Mae Alindada Sacsi,,,2025TEG-P0135,[SIGNED] V2 - [Mineski x BuzzOne C-VITT] - QUOTATION [PHP].pdf,https://docs.google.com/spreadsheets/d/1XtIUqRwut5dChCuCcnphr1dwTcGozhoFsLsZhjA7u5w/edit?usp=sharing,12%,"2,670,571.65",0.167,"398,201.31",PDEI SI3 363_50% DP C-Vitt Brand Activation.pdf,"May 31, 2025
September 20, 2025",,,,PDEI - Marketing,2025,,,,100%,Account Associate,"₱2,384,438.97","$41,832.26",,,0,0.00,202505070018,Booth,1175436.98
Don Bosco,Mineski Outpost - Don Bosco Alumni AMD X-Deal,Collected - For Closing,33482.1428571429,$587.41,,,,Christine Joyce Jimenez Cahigas,Alvaro Miguel Dela Vega Santos,Anteaus Villena,,2026TEG-P0018,,,12%,"37,500.00",0,0.00,,,,,2026/01/06,PDEI - Marketing,2026,01-01,2026/01/24,2026/01/24,100%,Account Director,"₱33,482.14",$587.41,,,1,"37,500.00",,"Don Bosco,Outpost,Event,X-Deal",33482.14
Federal Land,MET Park Fitness Weekend Run,Collected - For Closing,268143.75,"$4,704.28",Sep 30: Client said Oct 9 payment,2025/07/16,,Marinella M. Casabuena,Shanna Mae Alindada Sacsi,,,2025TEG-P0204,,https://docs.google.com/spreadsheets/d/1TB9bBeYy2doaWPL5-uR1tBei41UNKSxqVH6GhyZ9aKI/edit?usp=sharing,12%,"300,321.00",0.204,"54,701.32",,,,,,PDEI - Marketing,2025,,,,100%,Account Associate,"₱268,143.75","$4,704.28",,,1,"300,321.00",,"Federal Land,Event",
